id,wellid,union,village,latitude,longitude,depth,year,kitcolor,arsenic
1,10,Araihazar,Krishnapura              ,23.78865,90.65216,60,1992,Red  ,331
2,14,Araihazar,Krishnapura              ,23.7886,90.65231,45,1998,Red  ,302
3,30,Araihazar,Krishnapura              ,23.78796,90.65172,45,1995,Red  ,193
4,59,Araihazar,Krishnapura              ,23.78926,90.65248,125,1973,Red  ,232
5,85,Duptara  ,Hatkholapara             ,23.79204,90.61401,150,1997,Green,19
6,196,Brahmandi,Narindi                  ,23.78166,90.62499,60,1993,Green,33
7,197,Brahmandi,Narindi                  ,23.78164,90.62498,55,1998,Green,2
8,199,Brahmandi,Narindi                  ,23.78186,90.62482,46,1984,Green,1
9,201,Brahmandi,Narindi                  ,23.78216,90.62457,60,1996,Green,23
10,220,Brahmandi,Narindi                  ,23.78157,90.6246,60,1998,Red  ,111
11,346,Brahmandi,Sulpandi                 ,23.77974,90.61804,30,1987,Red  ,92
12,351,Brahmandi,Sulpandi                 ,23.77947,90.61786,45,1993,Red  ,114
13,352,Brahmandi,Sulpandi                 ,23.77957,90.61754,40,1998,Red  ,74
14,429,Brahmandi,Silmandi                 ,23.7651,90.61761,130,1980,Red  ,276
15,441,Brahmandi,Silmandi                 ,23.76538,90.61683,45,1995,Green,35
16,442,Brahmandi,Silmandi                 ,23.76546,90.61642,65,1995,Red  ,65
17,457,Brahmandi,Silmandi                 ,23.7654,90.61559,40,1993,Green,15
18,546,Duptara  ,Nagarpara                ,23.79253,90.60987,120,1997,Green,27
19,552,Duptara  ,Nagarpara                ,23.79387,90.60992,120,1995,Green,25
20,555,Duptara  ,Nagarpara                ,23.79316,90.61022,60,1992,Green,12
21,561,Duptara  ,Nagarpara                ,23.79447,90.6096,110,1999,Green,21
22,576,Duptara  ,Kumarpara                ,23.797,90.61071,80,1997,Green,1
23,577,Duptara  ,Kumarpara                ,23.79668,90.61082,110,1995,Green,1
24,578,Duptara  ,Kumarpara                ,23.79649,90.61091,120,1994,Green,1
25,580,Duptara  ,Kumarpara                ,23.79626,90.61108,150,1996,Green,1
26,581,Duptara  ,Kumarpara                ,23.79613,90.61095,120,1992,Green,1
27,607,Duptara  ,Girda                    ,23.79704,90.6081,65,1991,Red  ,122
28,608,Duptara  ,Girda                    ,23.79726,90.60812,75,1988,Red  ,135
29,621,Duptara  ,Girda                    ,23.79657,90.60871,80,1985,Red  ,112
30,625,Duptara  ,Girda                    ,23.79583,90.60813,95,1999,Green,2
31,630,Duptara  ,Nagarpara                ,23.79417,90.60879,95,1992,Green,1
32,750,Duptara  ,Tingaon                  ,23.78778,90.6009,120,1990,Green,1
33,751,Duptara  ,Tingaon                  ,23.78809,90.60112,120,1986,Green,1
34,752,Duptara  ,Tingaon                  ,23.78812,90.60081,120,1987,Green,1
35,769,Duptara  ,Kumarpara                ,23.79824,90.61072,150,1986,Green,3
36,771,Duptara  ,Kumarpara                ,23.79892,90.60995,35,1995,Green,6
37,784,Duptara  ,Kumarpara                ,23.80002,90.61,165,1993,Green,1
38,794,Duptara  ,Kumarpara                ,23.80025,90.61088,170,1994,Green,2
39,802,Araihazar,Jhaugara                 ,23.78816,90.64508,35,1992,Red  ,75
40,811,Araihazar,Jhaugara                 ,23.78728,90.64529,100,1976,Red  ,176
41,818,Araihazar,Jhaugara                 ,23.78567,90.64501,70,1970,Red  ,131
42,820,Araihazar,Jhaugara                 ,23.78561,90.64547,45,1991,Red  ,111
43,821,Araihazar,Jhaugara                 ,23.78553,90.64508,35,1990,Red  ,160
44,839,Araihazar,Lakhupura                ,23.78259,90.63667,50,1995,Red  ,194
45,849,Araihazar,Lakhupura                ,23.78235,90.63653,70,1997,Red  ,178
46,948,Brahmandi,Baylarkandi              ,23.78037,90.63838,46,1989,Red  ,333
47,949,Brahmandi,Baylarkandi              ,23.78049,90.63834,45,1994,Red  ,207
48,954,Brahmandi,Baylarkandi              ,23.7801,90.63809,75,1987,Red  ,134
49,955,Brahmandi,Baylarkandi              ,23.78011,90.63785,46,1997,Red  ,302
50,957,Brahmandi,Baylarkandi              ,23.78005,90.63755,45,1992,Red  ,379
51,1008,Brahmandi,Bara Manohardi           ,23.78483,90.6148,45,1998,Green,45
52,1015,Brahmandi,Bara Manohardi           ,23.78504,90.61576,45,1994,Green,45
53,1018,Brahmandi,Bara Manohardi           ,23.78501,90.61585,45,1997,Red  ,50
54,1020,Brahmandi,Bara Manohardi           ,23.78472,90.61578,45,1999,Green,35
55,1022,Brahmandi,Bara Manohardi           ,23.78453,90.61573,45,1991,Green,35
56,1054,Brahmandi,Choto Manohardi          ,23.7809,90.61643,45,1998,Green,1
57,1055,Brahmandi,Choto Manohardi          ,23.78045,90.6163,60,1999,Red  ,121
58,1077,Brahmandi,Choto Manohardi          ,23.78063,90.61683,45,1997,Red  ,78
59,1082,Brahmandi,Laskardi                 ,23.77684,90.61634,25,2001,Red  ,58
60,1083,Brahmandi,Laskardi                 ,23.77678,90.61636,120,1995,Red  ,109
61,1097,Brahmandi,Laskardi                 ,23.77743,90.61783,32,1998,Green,51
62,1111,Brahmandi,Laskardi                 ,23.77796,90.61864,32,1995,Green,54
63,1122,Brahmandi,Laskardi                 ,23.77727,90.61584,45,1990,Green,1
64,1123,Brahmandi,Laskardi                 ,23.77733,90.61559,40,1993,Green,2
65,1124,Brahmandi,Laskardi                 ,23.77728,90.61541,40,1991,Green,1
66,1125,Brahmandi,Laskardi                 ,23.7772,90.61526,60,1990,Green,2
67,1126,Brahmandi,Laskardi                 ,23.77722,90.61527,70,1993,Green,1
68,1201,Brahmandi,Laskardi                 ,23.77627,90.61636,36,1990,Green,44
69,1208,Brahmandi,Laskardi                 ,23.77529,90.61285,55,1991,Red  ,58
